2024-12-26T17:49:23
ID	Read	R1_Forward	R1_Reverse	R2_Forward	R2_Reverse	R1_Penalty	R2_Penalty
ERR2061618.388039 7001289F:109:CB97UANXX:1:2310:15666:40963/1	R1	-	+	-	+	0.526316	0.526316
ERR2061618.388726 7001289F:109:CB97UANXX:1:2106:3271:15187/1	R1	-	+	-	+	0.172414	0.172414
ERR2061618.483487 7001289F:109:CB97UANXX:1:1203:12684:21280/1	R1	-	+	-	+	0.964286	0.964286
ERR2061618.508025 7001289F:109:CB97UANXX:1:2304:10219:23538/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.522310 7001289F:109:CB97UANXX:1:1312:13450:28397/1	R1	-	+	-	+	0.904762	0.904762
ERR2061618.523380 7001289F:109:CB97UANXX:1:1201:17197:8823/1	R1	-	+	-	+	1.000000	1.000000
ERR2061618.1561326 7001289F:109:CB97UANXX:1:2313:17303:24552/1	R1	-	+	-	+	0.526316	0.526316
ERR2061618.2418430 7001289F:109:CB97UANXX:1:1114:16371:68476/1	R1	-	+	-	+	0.526316	0.526316
ERR2061618.3107597 7001289F:103:C9WFLANXX:4:1111:2428:38512/1	R1	-	+	-	+	0.850000	0.850000
ERR2061618.4454783 7001289F:109:CB97UANXX:1:2301:19747:33654/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454784 7001289F:103:C9WFLANXX:3:2214:9640:6780/1	R1	+	-	+	-	0.600000	0.600000
ERR2061618.4454785 7001289F:103:C9WFLANXX:3:2213:12570:51886/1	R1	+	-	+	-	0.348624	0.348624
ERR2061618.4454788 7001289F:103:C9WFLANXX:4:1208:1316:17149/1	R1	+	-	+	-	0.320388	0.320388
ERR2061618.4454789 7001289F:109:CB97UANXX:1:1106:12328:60535/1	R1	+	-	+	-	0.475000	0.475000
ERR2061618.4454790 7001289F:109:CB97UANXX:1:2215:12380:38790/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454797 7001289F:109:CB97UANXX:1:2109:8375:80162/1	R1	-	+	-	+	0.097222	0.097222
ERR2061618.4454800 7001289F:103:C9WFLANXX:3:1207:2237:27226/1	R1	+	-	+	-	0.678571	0.678571
ERR2061618.4454802 7001289F:103:C9WFLANXX:4:1203:4741:25667/1	R1	+	-	+	-	0.417722	0.417722
ERR2061618.4454803 7001289F:109:CB97UANXX:1:1112:16352:3629/1	R1	+	-	+	-	0.471698	0.471698
ERR2061618.4454804 7001289F:109:CB97UANXX:1:1213:19484:24329/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454805 7001289F:103:C9WFLANXX:3:2203:7884:98695/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454807 7001289F:103:C9WFLANXX:3:2112:5780:73958/1	R1	+	-	+	-	0.446429	0.446429
ERR2061618.4454810 7001289F:109:CB97UANXX:1:1101:8582:21159/1	R1	+	-	+	-	0.639640	0.639640
ERR2061618.4454812 7001289F:109:CB97UANXX:1:1303:19786:96271/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454815 7001289F:103:C9WFLANXX:3:1105:7691:9705/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454816 7001289F:103:C9WFLANXX:3:2207:18672:52012/1	R1	+	-	+	-	0.433628	0.433628
ERR2061618.4454822 7001289F:103:C9WFLANXX:4:1113:16685:48801/1	R1	+	-	+	-	0.433628	0.433628
ERR2061618.4454823 7001289F:109:CB97UANXX:1:1103:18721:54132/1	R1	+	-	+	-	0.365385	0.365385
ERR2061618.4454825 7001289F:109:CB97UANXX:1:2114:12618:43368/1	R1	+	-	+	-	0.446429	0.446429
ERR2061618.4454827 7001289F:109:CB97UANXX:1:2308:4799:89004/1	R1	+	-	+	-	0.345455	0.345455
ERR2061618.4454831 7001289F:103:C9WFLANXX:3:1210:19060:66737/1	R1	+	-	+	-	0.457944	0.457944
ERR2061618.4454832 7001289F:103:C9WFLANXX:3:1316:5501:53574/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454833 7001289F:103:C9WFLANXX:3:1215:20759:81541/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454834 7001289F:103:C9WFLANXX:4:2311:16626:15189/1	R1	+	-	+	-	0.924528	0.924528
ERR2061618.4454835 7001289F:103:C9WFLANXX:4:2311:4812:85029/1	R1	+	-	+	-	0.471698	0.471698
ERR2061618.4454837 7001289F:103:C9WFLANXX:4:2312:15663:63572/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454839 7001289F:103:C9WFLANXX:4:2105:19549:62745/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454840 7001289F:103:C9WFLANXX:4:1214:8346:91431/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454842 7001289F:109:CB97UANXX:1:2315:13937:46998/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454844 7001289F:109:CB97UANXX:1:2101:12492:50650/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454847 7001289F:109:CB97UANXX:1:2108:14725:24242/1	R1	+	-	+	-	0.471698	0.471698
ERR2061618.4454848 7001289F:109:CB97UANXX:1:1314:9878:85479/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454849 7001289F:109:CB97UANXX:1:2312:6289:97698/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454850 7001289F:109:CB97UANXX:1:1207:21216:44544/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454853 7001289F:103:C9WFLANXX:3:1302:7336:64828/1	R1	+	-	+	-	0.471698	0.471698
ERR2061618.4454854 7001289F:103:C9WFLANXX:4:1302:7399:98626/1	R1	+	-	+	-	0.500000	0.500000
ERR2061618.4454855 7001289F:103:C9WFLANXX:4:1209:6029:59474/1	R1	+	-	+	-	0.471698	0.471698
ERR2061618.4454857 7001289F:109:CB97UANXX:1:2210:8600:34025/1	R1	+	-	+	-	0.247706	0.247706
ERR2061618.4454860 7001289F:109:CB97UANXX:1:2306:11888:64105/1	R1	+	-	+	-	0.924528	0.924528
ERR2061618.4454861 7001289F:109:CB97UANXX:1:1111:6917:33280/1	R1	+	-	+	-	0.927928	0.927928
ERR2061618.4454866 7001289F:103:C9WFLANXX:3:2304:15058:64730/1	R1	+	-	+	-	0.345455	0.345455
ERR2061618.4454868 7001289F:103:C9WFLANXX:3:2212:3121:20334/1	R1	+	-	+	-	0.714286	0.714286
ERR2061618.4454869 7001289F:103:C9WFLANXX:3:2116:12392:76596/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454873 7001289F:103:C9WFLANXX:4:2303:21096:43591/1	R1	+	-	+	-	0.387755	0.387755
ERR2061618.4454874 7001289F:103:C9WFLANXX:4:2209:7181:97925/1	R1	+	-	+	-	0.345455	0.345455
ERR2061618.4454875 7001289F:103:C9WFLANXX:4:2205:13541:72139/1	R1	+	-	+	-	0.302752	0.302752
ERR2061618.4454876 7001289F:103:C9WFLANXX:4:1114:8802:75738/1	R1	+	-	+	-	0.345455	0.345455
ERR2061618.4454877 7001289F:109:CB97UANXX:1:1102:17757:62173/1	R1	+	-	+	-	0.413043	0.413043
ERR2061618.4454878 7001289F:109:CB97UANXX:1:1107:1895:91921/1	R1	+	-	+	-	0.574257	0.574257
ERR2061618.4454879 7001289F:109:CB97UANXX:1:2209:9996:87412/1	R1	+	-	+	-	0.345455	0.345455
ERR2061618.4454880 7001289F:109:CB97UANXX:1:2202:16483:29220/1	R1	+	-	+	-	0.863636	0.863636
ERR2061618.4454883 7001289F:109:CB97UANXX:1:1115:2108:6676/1	R1	+	-	+	-	0.504673	0.504673
ERR2061618.4454885 7001289F:109:CB97UANXX:1:1116:10521:32567/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454886 7001289F:109:CB97UANXX:1:2306:10993:72812/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454887 7001289F:109:CB97UANXX:1:1115:16010:23532/1	R1	+	-	+	-	0.457944	0.457944
ERR2061618.4454889 7001289F:103:C9WFLANXX:3:2314:2019:61734/1	R1	+	-	+	-	0.387755	0.387755
ERR2061618.4454890 7001289F:103:C9WFLANXX:3:1203:18784:73694/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454891 7001289F:103:C9WFLANXX:4:1102:5711:68162/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454892 7001289F:109:CB97UANXX:1:2313:11692:69484/1	R1	+	-	+	-	0.891892	0.891892
ERR2061618.4454893 7001289F:103:C9WFLANXX:3:2313:5481:82593/1	R1	+	-	+	-	0.614679	0.614679
ERR2061618.4454898 7001289F:103:C9WFLANXX:4:1215:12116:21908/1	R1	-	+	-	+	0.150685	0.150685
ERR2061618.4454901 7001289F:103:C9WFLANXX:4:1207:6340:75304/1	R1	+	-	+	-	0.471698	0.471698
ERR2061618.4454902 7001289F:103:C9WFLANXX:3:1106:7791:38605/1	R1	+	-	+	-	0.365385	0.365385
ERR2061618.4454903 7001289F:103:C9WFLANXX:4:2110:16902:23805/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454909 7001289F:109:CB97UANXX:1:1302:8962:82193/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454913 7001289F:103:C9WFLANXX:4:1101:2970:84349/1	R1	+	-	+	-	0.488372	0.488372
ERR2061618.4454914 7001289F:103:C9WFLANXX:4:2103:11168:83717/1	R1	+	-	+	-	0.365385	0.365385
ERR2061618.4454918 7001289F:103:C9WFLANXX:3:1303:17929:63087/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454919 7001289F:103:C9WFLANXX:4:2103:7936:66863/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454921 7001289F:109:CB97UANXX:1:1315:19309:24526/1	R1	-	+	-	+	0.077778	0.077778
ERR2061618.4454922 7001289F:109:CB97UANXX:1:2214:17090:99983/1	R1	+	-	+	-	0.000000	0.000000
ERR2061618.4454924 7001289F:103:C9WFLANXX:4:2116:5461:71223/1	R1	-	+	-	+	0.063492	0.063492
ERR2061618.4454925 7001289F:103:C9WFLANXX:3:2216:5773:82087/1	R1	+	-	+	-	0.500000	0.500000
ERR2061618.4454929 7001289F:103:C9WFLANXX:3:2112:9213:50839/1	R1	+	-	+	-	0.714286	0.714286
ERR2061618.4454930 7001289F:109:CB97UANXX:1:1104:7447:7060/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454932 7001289F:109:CB97UANXX:1:1105:3985:47540/1	R1	-	+	-	+	0.206186	0.206186
ERR2061618.4454934 7001289F:103:C9WFLANXX:3:2208:6826:95887/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454939 7001289F:103:C9WFLANXX:3:2303:15177:59275/1	R1	+	-	+	-	0.540984	0.540984
ERR2061618.4454941 7001289F:103:C9WFLANXX:4:2214:3582:3325/1	R1	-	+	-	+	0.395604	0.395604
ERR2061618.4454942 7001289F:109:CB97UANXX:1:2314:10104:51031/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454943 7001289F:109:CB97UANXX:1:2309:13606:84904/1	R1	+	-	+	-	0.413043	0.413043
ERR2061618.4454948 7001289F:109:CB97UANXX:1:2211:14721:76334/1	R1	-	+	-	+	0.064516	0.064516
ERR2061618.4454951 7001289F:109:CB97UANXX:1:1109:12315:85548/1	R1	-	+	-	+	0.000000	0.000000
ERR2061618.4454953 7001289F:103:C9WFLANXX:3:2109:18799:69024/1	R1	-	+	-	+	0.086957	0.086957
